"Sample","20230511_IARPA_ST_TCX_TL_ALL_024_sample 006","20230511_IARPA_ST_TCX_TL_ALL_026_sample 008","20230511_IARPA_ST_TCX_TL_ALL_081_sample 047","20230511_IARPA_ST_TCX_TL_ALL_048_sample 022","20230511_IARPA_ST_TCX_TL_ALL_051_sample 025","20230511_IARPA_ST_TCX_TL_ALL_078_sample 044"
,"1. d25_sham","1. d25_sham","1. d25_sham","2. Pre_sham","2. Pre_sham","2. Pre_sham"
"a276","1.161991358","1.782424864","2.796082886","0.630354208","1.05407705","0.943377592"
"a277","1.37018359","2.250151885","3.912527458","0.750793241","1.114880274","1.215918344"
"a278","0.876382978","1.849370938","3.098048421","0.663870648","0.89552869","0.740358305"
"a279","0.522279728","1.113482578","1.986905308","0.865633473","2.026652125","2.3092865"
"a280","0.4576857","1.076233031","1.82050784","1.017799678","1.487195957","1.446791895"
"a281","0.660784392","1.383786333","1.404514793","1.018660809","1.390125842","1.161570175"
"a282","0.514196773","1.229520417","1.562583609","1.534570994","2.273020101","2.158357557"
"a283","0.872390267","1.616385385","3.016028089","0.95489401","0.926844372","1.244629246"
"a284","0.67024881","1.057838598","2.341880752","0.956468112","1.882151455","1.60785125"
"a285","0.359434672","0.928758733","1.777299004","1.045174694","1.418243398","1.169093192"
"a286","0.538681355","1.030723653","2.888339785","1.230126569","1.175276208","1.44320551"
"a287","0.912484069","0.965860014","3.14238004","0.933309251","0.82725115","1.031930453"
"a288","1.075126312","1.380313222","4.749459087","1.095082034","0.745673331","0.933090482"
"a289","1.000983333","1.752224675","3.231054216","1.040397799","1.031862326","0.462101652"
"a290","0.624075988","0.549806233","2.134812052","0.817710045","0.895389821","1.273471244"
"a291","0.655764915","0.805428712","2.306255994","1.367155251","1.323099179","1.577214301"
"a292","1.063781006","1.343827063","2.254121483","2.250373833","1.177687497","1.459816993"
"a293","0.409133345","0.604913263","1.910530221","2.501986633","3.305568337","2.86537397"
"a294","0.619272281","1.167623165","1.844932733","2.105773857","2.527037897","2.416556644"
"a295","0.732966385","1.378466232","2.595237949","2.02984371","2.046256513","1.80899183"
"a296","0.540632476","1.69777929","2.039631641","1.767400751","2.107154156","2.815407284"
"a297","0.644730034","1.978905712","3.162419086","1.633918958","1.722692277","2.226704909"
"a298","0.790897704","1.658019295","2.796071263","1.237416766","1.799130536","2.241154255"
"a299","0.64310194","1.990010295","3.320296253","1.054022702","1.444852077","1.209317287"
"a300","0.8898854","1.562361054","2.063375673","0.721805893","1.491166555","1.402360784"
"a301","1.18404912","2.127218837","2.238054346","1.402999818","1.609885461","2.424379989"
"a302","0.154349014","1.156130162","1.147555374","2.081441378","3.181019999","3.039789872"
"a303","0.375853239","1.476370655","1.569599451","1.648388388","4.182456752","2.178616012"
"a304","0.920118691","1.940907191","1.418758504","2.563559247","2.376153261","1.43971392"
